n_atr_1d_6,cl_9_1.0,cl_12_1.0,cl_18_2.0,cl_9_3.0,ind_vjrc_36_1,ind_per_x9_1.0,prc_u_tc_cns,tas_u_tc,c_tc_mn_24,c_tc_mn_24_sld,c_pcns,vr_s_t_36,mx_ltc_36,ipc_t6
3,0,0,0,0,1,0,0.0,0.0,1,0,0,-1.0,13255.85,0.018195539
0,0,0,0,0,0,0,0.0,0.0,1,0,1,-0.389074341,5391.55,0.032546067
0,0,0,0,0,0,1,0.0992,-1.0,0,0,1,-0.473838417,10572.0,0.043979285
0,0,0,0,0,1,0,0.0,0.0,0,0,1,-0.857397718,1501.0,0.015987324
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.019732322
0,0,0,0,0,0,1,0.17981,0.17981,0,0,2,-0.458899304,1000.05,0.018195539
0,0,0,0,0,0,0,0.085166667,0.085166667,1,0,0,-0.679824561,4500.0,0.032546067
0,0,0,0,0,0,0,0.078733333,0.078733333,1,1,0,0.0,1200.0,0.022947805
0,0,0,0,0,0,1,0.366631559,0.366631559,1,0,0,0.0,15761.0,0.039748545
0,0,0,0,0,0,1,0.002481222,0.002481222,1,0,1,-0.69811389,3989.97,0.035449103
0,0,1,1,0,1,0,0.0992,-1.0,0,0,1,-0.801770599,0.0,0.033416187
0,0,0,0,0,0,1,0.0992,-1.0,0,0,3,-0.382880701,3700.0,0.039748545
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,320.0,0.01429334
0,0,0,0,0,0,1,0.478245525,0.478245525,4,0,0,0.0,46557.71,0.035449103
0,0,0,1,0,1,0,0.0,0.0,2,0,0,-1.0,25893.0,0.035449103
0,0,0,0,0,0,1,0.320736475,0.320736475,2,2,1,-0.843319887,9600.01,0.018195539
0,0,0,0,0,0,1,0.99635,0.99635,0,0,3,-0.02653135,1000.0,0.013648559
1,0,0,0,0,1,0,0.94117914,0.94117914,1,0,1,0.0,29751.35,0.03234882
0,0,0,0,0,0,0,0.0,0.0,1,0,1,0.0,2700.0,0.013648559
0,0,0,1,0,1,0,0.0,0.0,1,0,1,-3.85e-05,17750.0,0.022947805
0,0,1,0,0,0,1,0.05795635,0.05795635,2,3,0,-0.853829983,124243.77,0.03234882
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.019732322
0,0,0,0,0,1,0,0.0,0.0,0,0,0,-1.0,1000.0,0.018195539
0,0,0,0,0,0,1,0.38459761,0.38459761,1,0,0,-0.412749025,36073.93,0.022947805
0,0,0,0,0,0,1,0.384676499,0.384676499,5,3,1,-0.296642079,8974.32,0.039748545
4,0,0,0,0,0,0,0.1526375,0.1526375,0,0,0,-0.710573333,800.0,0.039748545
0,0,0,0,0,0,1,0.190742105,0.190742105,2,2,0,-0.753675001,26333.2,0.033416187
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.022947805
0,0,0,0,0,0,0,0.0,0.0,0,0,2,-0.417407393,638.19,0.022947805
0,0,0,0,0,0,0,0.0992,-1.0,0,0,2,-0.146262401,0.0,0.033416187
0,0,0,0,0,0,1,0.0,0.0,1,0,0,-0.076929463,11300.0,0.035449103
0,0,0,0,0,1,1,0.0992,-1.0,0,0,2,-0.037746415,0.0,0.035449103
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.015987324
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.027324439
0,0,0,0,0,0,0,0.366552381,0.366552381,1,0,0,0.0,2100.0,0.018195539
0,0,0,0,0,0,1,0.099924501,0.099924501,3,3,0,-0.668218503,98824.05,0.013648559
0,0,0,0,0,0,0,0.0,0.0,0,0,1,-0.252182353,2000.0,0.027324439
0,0,0,0,0,0,0,0.0,0.0,0,0,0,-0.058328056,600.0,0.033416187
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,-0.995603772,0.0,0.03234882
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.027324439
0,0,0,0,0,0,0,0.210188889,0.210188889,1,0,0,-0.984301245,2102.0,0.021925232
0,0,0,0,0,0,1,0.029748284,0.029748284,1,0,1,0.0,3500.0,0.019000916
0,0,0,0,0,0,1,0.920341224,0.920341224,1,2,4,0.0,14625.0,0.018195539
0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,90.0,0.043979285
0,0,0,0,0,0,1,0.0,0.0,2,0,1,-0.946704653,27900.0,0.018195539
0,0,0,0,0,0,1,0.277285156,0.277285156,3,0,2,0.0,5610.0,0.022947805
0,0,0,0,0,1,0,0.352325,0.352325,1,1,0,0.0,800.0,0.021925232
2,0,0,0,0,1,1,0.909221429,0.909221429,0,0,2,-0.708855807,6000.0,0.032546067
0,0,0,0,0,0,1,0.0,0.0,1,0,3,-0.171239114,4430.03,0.032546067
0,0,0,0,0,1,0,0.0992,-1.0,0,0,2,0.0,0.0,0.018195539
0,0,0,0,0,0,1,0.029094556,0.029094556,2,2,0,-0.891739655,11666.1,0.019732322
0,0,0,0,0,0,1,0.149937952,0.149937952,2,0,0,-0.489770137,13199.46,0.019000916
0,0,0,0,0,0,0,0.0,0.0,1,0,0,-0.058328056,81800.0,0.013648559
